

(Table III)	Centrality  0-10%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
 0.197      |  21.758 |  16.553 | \pm  0.028    | 105.84 |  80.90 | \pm  4.29   | 1.15         | 32.4  | \pm  3.17   | \pm  6.12   | \pm  8.12   
 0.175      |  19.355 |  14.723 | \pm  0.023    | 102.63 |  78.59 | \pm  3.96   | 1.21         | 30.1  | \pm  3.59   | \pm  6.85   | \pm  8.69   
 0.153      |  16.948 |  12.880 | \pm  0.021    |  97.91 |  75.16 | \pm  4.19   | 1.25         | 27.6  | \pm  3.83   | \pm  6.93   | \pm  8.96   
 0.131      |  14.536 |  11.031 | \pm  0.017    |  93.93 |  72.13 | \pm  4.01   | 1.34         | 24.9  | \pm  3.77   | \pm  7.03   | \pm  8.93   
 0.109      |  12.119 |   9.172 | \pm  0.014    |  87.92 |  66.93 | \pm  3.81   | 1.39         | 21.9  | \pm  3.48   | \pm  7.30   | \pm  8.94   
 0.087      |   9.695 |   7.305 | \pm  0.011    |  78.94 |  58.95 | \pm  3.35   | 1.34         | 18.7  | \pm  3.48   | \pm  7.34   | \pm  8.79   
 0.066      |   7.308 |   5.685 | \pm  0.008    |  65.53 |  49.27 | \pm  2.87   | 1.09         | 15.4  | \pm  4.05   | \pm  6.83   | \pm  8.45   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table IV)	Centrality  5-15%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  66.445 |  51.428 | \pm  0.098    |  80.80 |  62.54 | \pm  1.92   | 1.20         | 68.0  | \pm  2.14   | \pm  2.17   | \pm  3.60   
 0.678      |  64.658 |  50.089 | \pm  0.097    |  80.40 |  62.28 | \pm  1.95   | 1.15         | 66.4  | \pm  3.40   | \pm  1.53   | \pm  4.21   
 0.656      |  62.535 |  48.377 | \pm  0.094    |  81.17 |  62.79 | \pm  1.99   | 1.20         | 65.0  | \pm  2.28   | \pm  1.11   | \pm  3.22   
 0.634      |  60.379 |  46.644 | \pm  0.092    |  81.10 |  62.65 | \pm  2.02   | 1.23         | 64.1  | \pm  2.24   | \pm  1.57   | \pm  3.40   
 0.613      |  58.258 |  44.970 | \pm  0.090    |  80.61 |  62.21 | \pm  2.06   | 1.21         | 62.4  | \pm  2.75   | \pm  1.43   | \pm  3.72   
 0.591      |  56.156 |  43.337 | \pm  0.088    |  79.66 |  61.47 | \pm  2.08   | 1.12         | 60.6  | \pm  2.85   | \pm  1.50   | \pm  3.83   
 0.569      |  54.043 |  41.665 | \pm  0.085    |  79.26 |  61.09 | \pm  2.12   | 1.07         | 59.2  | \pm  2.59   | \pm  1.88   | \pm  3.83   
 0.547      |  51.923 |  39.968 | \pm  0.083    |  78.98 |  60.79 | \pm  2.17   | 1.09         | 57.4  | \pm  2.90   | \pm  1.68   | \pm  3.99   
 0.525      |  49.809 |  38.283 | \pm  0.081    |  79.14 |  60.81 | \pm  2.23   | 1.11         | 56.2  | \pm  2.83   | \pm  1.88   | \pm  4.07   
 0.503      |  47.691 |  36.586 | \pm  0.078    |  79.62 |  61.06 | \pm  2.32   | 1.13         | 54.7  | \pm  2.15   | \pm  1.91   | \pm  3.69   
 0.481      |  45.573 |  34.878 | \pm  0.076    |  79.66 |  60.95 | \pm  2.39   | 1.13         | 53.0  | \pm  2.35   | \pm  1.59   | \pm  3.71   
 0.459      |  43.446 |  33.150 | \pm  0.073    |  80.40 |  61.33 | \pm  2.48   | 1.18         | 51.3  | \pm  2.25   | \pm  1.70   | \pm  3.76   
 0.438      |  41.327 |  31.420 | \pm  0.071    |  79.99 |  60.80 | \pm  2.56   | 1.15         | 49.4  | \pm  2.84   | \pm  2.29   | \pm  4.46   
 0.416      |  39.211 |  29.696 | \pm  0.069    |  80.34 |  60.83 | \pm  2.67   | 1.18         | 47.7  | \pm  2.98   | \pm  2.03   | \pm  4.49   
 0.394      |  37.107 |  27.993 | \pm  0.067    |  80.40 |  60.62 | \pm  2.79   | 1.15         | 45.9  | \pm  3.24   | \pm  2.36   | \pm  4.88   
 0.372      |  35.007 |  26.295 | \pm  0.064    |  80.45 |  60.38 | \pm  2.92   | 1.18         | 43.9  | \pm  3.19   | \pm  2.29   | \pm  4.89   
 0.350      |  32.938 |  24.672 | \pm  0.044    |  80.58 |  60.28 | \pm  2.17   | 1.21         | 42.1  | \pm  3.22   | \pm  2.23   | \pm  4.48   
 0.328      |  30.889 |  23.196 | \pm  0.042    |  80.09 |  60.08 | \pm  2.25   | 1.22         | 40.3  | \pm  3.29   | \pm  2.71   | \pm  4.82   
 0.306      |  28.861 |  21.741 | \pm  0.040    |  79.49 |  59.81 | \pm  2.33   | 1.22         | 38.6  | \pm  3.21   | \pm  2.56   | \pm  4.73   
 0.284      |  26.832 |  20.270 | \pm  0.038    |  79.11 |  59.73 | \pm  2.44   | 1.24         | 37.0  | \pm  2.85   | \pm  2.87   | \pm  4.72   
 0.263      |  24.795 |  18.778 | \pm  0.036    |  78.06 |  59.22 | \pm  2.55   | 1.23         | 35.3  | \pm  3.01   | \pm  3.26   | \pm  5.12   
 0.241      |  22.758 |  17.270 | \pm  0.035    |  77.16 |  58.82 | \pm  2.68   | 1.22         | 33.8  | \pm  2.93   | \pm  3.39   | \pm  5.22   
 0.219      |  20.708 |  15.737 | \pm  0.026    |  76.33 |  58.44 | \pm  2.32   | 1.27         | 32.1  | \pm  2.56   | \pm  3.09   | \pm  4.64   
 0.197      |  18.654 |  14.187 | \pm  0.025    |  75.26 |  57.80 | \pm  2.47   | 1.29         | 30.2  | \pm  2.84   | \pm  3.67   | \pm  5.26   
 0.175      |  16.591 |  12.614 | \pm  0.020    |  73.89 |  56.91 | \pm  2.30   | 1.36         | 28.1  | \pm  2.74   | \pm  3.58   | \pm  5.06   
 0.153      |  14.526 |  11.035 | \pm  0.019    |  71.68 |  55.18 | \pm  2.44   | 1.41         | 25.9  | \pm  2.84   | \pm  3.97   | \pm  5.46   
 0.131      |  12.458 |   9.451 | \pm  0.015    |  69.08 |  53.03 | \pm  2.31   | 1.47         | 23.1  | \pm  2.81   | \pm  4.10   | \pm  5.48   
 0.109      |  10.385 |   7.857 | \pm  0.013    |  65.32 |  49.65 | \pm  2.23   | 1.46         | 20.3  | \pm  2.92   | \pm  4.28   | \pm  5.64   
 0.087      |   8.306 |   6.253 | \pm  0.010    |  59.45 |  44.57 | \pm  2.03   | 1.29         | 17.4  | \pm  2.58   | \pm  4.32   | \pm  5.43   
 0.066      |   6.262 |   4.870 | \pm  0.007    |  51.33 |  38.86 | \pm  1.88   | 0.89         | 14.4  | \pm  2.75   | \pm  4.18   | \pm  5.34   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table V)	Centrality 10-20%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  55.290 |  42.794 | \pm 0.090     |  63.58 |  49.21 | \pm  1.47   | 1.14         | 64.0  | \pm  0.37   | \pm  0.57   | \pm  1.62   
 0.678      |  53.832 |  41.701 | \pm 0.089     |  62.10 |  48.11 | \pm  1.46   | 0.93         | 63.1  | \pm  2.48   | \pm  2.60   | \pm  3.88   
 0.656      |  52.092 |  40.299 | \pm 0.087     |  61.78 |  47.79 | \pm  1.48   | 0.88         | 62.3  | \pm  2.34   | \pm  1.54   | \pm  3.17   
 0.634      |  50.301 |  38.858 | \pm 0.085     |  61.91 |  47.82 | \pm  1.51   | 0.90         | 60.3  | \pm  2.06   | \pm  1.23   | \pm  2.83   
 0.613      |  48.533 |  37.463 | \pm 0.082     |  61.80 |  47.70 | \pm  1.54   | 0.88         | 58.5  | \pm  2.10   | \pm  1.09   | \pm  2.83   
 0.591      |  46.769 |  36.093 | \pm 0.080     |  62.00 |  47.85 | \pm  1.58   | 0.90         | 57.9  | \pm  1.74   | \pm  1.21   | \pm  2.64   
 0.569      |  45.006 |  34.698 | \pm 0.078     |  61.89 |  47.71 | \pm  1.61   | 0.87         | 56.6  | \pm  1.77   | \pm  1.06   | \pm  2.62   
 0.547      |  43.255 |  33.296 | \pm 0.076     |  61.70 |  47.49 | \pm  1.65   | 0.88         | 55.1  | \pm  1.80   | \pm  1.34   | \pm  2.78   
 0.525      |  41.499 |  31.895 | \pm 0.074     |  61.86 |  47.55 | \pm  1.70   | 0.89         | 53.8  | \pm  1.95   | \pm  1.21   | \pm  2.86   
 0.503      |  39.742 |  30.488 | \pm 0.072     |  61.94 |  47.51 | \pm  1.75   | 0.90         | 52.4  | \pm  1.89   | \pm  1.38   | \pm  2.92   
 0.481      |  37.976 |  29.063 | \pm 0.070     |  61.92 |  47.38 | \pm  1.80   | 0.90         | 50.8  | \pm  1.84   | \pm  1.26   | \pm  2.87   
 0.459      |  36.206 |  27.625 | \pm 0.067     |  61.91 |  47.24 | \pm  1.85   | 0.91         | 48.8  | \pm  1.84   | \pm  1.46   | \pm  2.99   
 0.438      |  34.435 |  26.179 | \pm 0.065     |  61.83 |  47.01 | \pm  1.91   | 0.91         | 47.2  | \pm  1.91   | \pm  1.55   | \pm  3.12   
 0.416      |  32.667 |  24.739 | \pm 0.063     |  62.02 |  46.98 | \pm  1.99   | 0.95         | 45.6  | \pm  1.96   | \pm  1.63   | \pm  3.23   
 0.394      |  30.908 |  23.315 | \pm 0.061     |  62.18 |  46.92 | \pm  2.07   | 1.00         | 43.8  | \pm  2.02   | \pm  1.58   | \pm  3.30   
 0.372      |  29.156 |  21.898 | \pm 0.059     |  62.35 |  46.85 | \pm  2.16   | 1.02         | 42.1  | \pm  2.14   | \pm  1.69   | \pm  3.48   
 0.350      |  27.434 |  20.547 | \pm 0.040     |  62.21 |  46.61 | \pm  1.59   | 1.02         | 40.4  | \pm  2.30   | \pm  1.77   | \pm  3.31   
 0.328      |  25.727 |  19.316 | \pm 0.038     |  61.90 |  46.54 | \pm  1.64   | 1.06         | 38.6  | \pm  2.05   | \pm  1.66   | \pm  3.11   
 0.306      |  24.039 |  18.105 | \pm 0.037     |  61.43 |  46.42 | \pm  1.71   | 1.09         | 36.8  | \pm  2.09   | \pm  1.68   | \pm  3.17   
 0.284      |  22.347 |  16.876 | \pm 0.035     |  60.84 |  46.18 | \pm  1.77   | 1.10         | 35.1  | \pm  2.30   | \pm  1.84   | \pm  3.44   
 0.263      |  20.653 |  15.635 | \pm 0.033     |  60.20 |  45.91 | \pm  1.85   | 1.12         | 33.3  | \pm  2.19   | \pm  1.93   | \pm  3.45   
 0.241      |  18.956 |  14.380 | \pm 0.032     |  59.81 |  45.79 | \pm  1.95   | 1.19         | 31.6  | \pm  2.27   | \pm  1.91   | \pm  3.54   
 0.219      |  17.251 |  13.105 | \pm 0.024     |  59.09 |  45.44 | \pm  1.68   | 1.22         | 29.7  | \pm  2.19   | \pm  2.04   | \pm  3.43   
 0.197      |  15.537 |  11.813 | \pm 0.023     |  58.31 |  44.99 | \pm  1.78   | 1.25         | 27.6  | \pm  2.23   | \pm  2.11   | \pm  3.55   
 0.175      |  13.816 |  10.501 | \pm 0.018     |  57.38 |  44.38 | \pm  1.65   | 1.31         | 25.5  | \pm  1.84   | \pm  2.17   | \pm  3.29   
 0.153      |  12.090 |   9.179 | \pm 0.017     |  55.59 |  43.04 | \pm  1.75   | 1.33         | 23.0  | \pm  1.77   | \pm  2.18   | \pm  3.31   
 0.131      |  10.367 |   7.858 | \pm 0.014     |  52.81 |  40.76 | \pm  1.63   | 1.27         | 20.6  | \pm  1.83   | \pm  2.31   | \pm  3.36   
 0.109      |   8.639 |   6.528 | \pm 0.011     |  49.83 |  38.38 | \pm  1.57   | 1.14         | 18.2  | \pm  1.85   | \pm  2.55   | \pm  3.52   
 0.087      |   6.909 |   5.194 | \pm 0.009     |  46.30 |  35.28 | \pm  1.45   | 0.97         | 15.6  | \pm  1.82   | \pm  2.85   | \pm  3.68   
 0.066      |   5.215 |   4.052 | \pm 0.007     |  42.21 |  32.18 | \pm  1.43   | 0.75         | 13.0  | \pm  2.04   | \pm  2.90   | \pm  3.82   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table VI)	Centrality 15-25%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  45.868 |  35.502 | \pm 0.082     |  53.43 |  41.35 | \pm  1.25   | 1.06         | 57.0  | \pm  1.83   | \pm  1.78   | \pm  2.85   
 0.678      |  44.657 |  34.594 | \pm 0.080     |  53.48 |  41.43 | \pm  1.29   | 0.95         | 55.3  | \pm  1.49   | \pm  0.53   | \pm  2.04   
 0.656      |  43.211 |  33.428 | \pm 0.078     |  53.45 |  41.35 | \pm  1.31   | 0.98         | 54.2  | \pm  1.53   | \pm  0.71   | \pm  2.14   
 0.634      |  41.737 |  32.242 | \pm 0.076     |  53.70 |  41.48 | \pm  1.35   | 0.96         | 53.0  | \pm  1.43   | \pm  0.58   | \pm  2.05   
 0.613      |  40.288 |  31.098 | \pm 0.075     |  53.41 |  41.23 | \pm  1.38   | 0.92         | 51.2  | \pm  1.94   | \pm  1.12   | \pm  2.63   
 0.591      |  38.829 |  29.965 | \pm 0.073     |  53.66 |  41.42 | \pm  1.42   | 0.96         | 50.3  | \pm  1.71   | \pm  0.70   | \pm  2.33   
 0.569      |  37.368 |  28.808 | \pm 0.071     |  53.48 |  41.23 | \pm  1.45   | 0.94         | 49.0  | \pm  1.76   | \pm  0.82   | \pm  2.42   
 0.547      |  35.911 |  27.642 | \pm 0.069     |  53.32 |  41.04 | \pm  1.48   | 0.91         | 47.6  | \pm  1.77   | \pm  0.88   | \pm  2.47   
 0.525      |  34.454 |  26.481 | \pm 0.067     |  53.41 |  41.05 | \pm  1.52   | 0.95         | 46.1  | \pm  1.75   | \pm  0.76   | \pm  2.44   
 0.503      |  32.995 |  25.311 | \pm 0.065     |  53.58 |  41.11 | \pm  1.56   | 1.02         | 44.9  | \pm  1.50   | \pm  0.81   | \pm  2.31   
 0.481      |  31.532 |  24.131 | \pm 0.063     |  53.73 |  41.13 | \pm  1.61   | 1.02         | 44.0  | \pm  1.50   | \pm  0.66   | \pm  2.29   
 0.459      |  30.062 |  22.936 | \pm 0.061     |  53.65 |  40.95 | \pm  1.65   | 1.02         | 42.8  | \pm  1.57   | \pm  0.86   | \pm  2.44   
 0.438      |  28.591 |  21.736 | \pm 0.059     |  53.69 |  40.84 | \pm  1.71   | 1.03         | 41.4  | \pm  1.70   | \pm  0.87   | \pm  2.57   
 0.416      |  27.125 |  20.541 | \pm 0.057     |  53.76 |  40.75 | \pm  1.78   | 1.04         | 40.0  | \pm  1.71   | \pm  0.84   | \pm  2.61   
 0.394      |  25.664 |  19.358 | \pm 0.055     |  53.81 |  40.64 | \pm  1.84   | 1.03         | 38.5  | \pm  1.78   | \pm  1.07   | \pm  2.78   
 0.372      |  24.206 |  18.179 | \pm 0.053     |  54.03 |  40.64 | \pm  1.93   | 1.05         | 37.1  | \pm  1.71   | \pm  1.02   | \pm  2.77   
 0.350      |  22.778 |  17.058 | \pm 0.036     |  54.05 |  40.55 | \pm  1.42   | 1.09         | 35.7  | \pm  1.94   | \pm  1.07   | \pm  2.63   
 0.328      |  21.359 |  16.035 | \pm 0.035     |  53.79 |  40.53 | \pm  1.48   | 1.12         | 34.5  | \pm  1.74   | \pm  1.02   | \pm  2.50   
 0.306      |  19.955 |  15.027 | \pm 0.033     |  53.36 |  40.43 | \pm  1.54   | 1.14         | 33.2  | \pm  1.74   | \pm  1.09   | \pm  2.57   
 0.284      |  18.552 |  14.008 | \pm 0.032     |  52.52 |  40.03 | \pm  1.59   | 1.16         | 31.7  | \pm  1.78   | \pm  1.17   | \pm  2.66   
 0.263      |  17.146 |  12.979 | \pm 0.030     |  51.86 |  39.73 | \pm  1.66   | 1.19         | 29.9  | \pm  1.63   | \pm  1.17   | \pm  2.60   
 0.241      |  15.736 |  11.936 | \pm 0.029     |  51.03 |  39.31 | \pm  1.74   | 1.25         | 28.0  | \pm  1.53   | \pm  1.28   | \pm  2.65   
 0.219      |  14.320 |  10.876 | \pm 0.022     |  49.80 |  38.58 | \pm  1.48   | 1.26         | 26.0  | \pm  1.69   | \pm  1.32   | \pm  2.60   
 0.197      |  12.897 |   9.802 | \pm 0.021     |  48.78 |  37.96 | \pm  1.57   | 1.26         | 24.1  | \pm  1.43   | \pm  1.39   | \pm  2.53   
 0.175      |  11.465 |   8.711 | \pm 0.017     |  47.43 |  37.04 | \pm  1.43   | 1.26         | 22.3  | \pm  1.39   | \pm  1.30   | \pm  2.38   
 0.153      |  10.030 |   7.612 | \pm 0.015     |  45.48 |  35.65 | \pm  1.51   | 1.21         | 20.2  | \pm  1.13   | \pm  1.41   | \pm  2.36   
 0.131      |   8.597 |   6.513 | \pm 0.013     |  43.13 |  33.84 | \pm  1.41   | 1.06         | 18.1  | \pm  1.27   | \pm  1.55   | \pm  2.45   
 0.109      |   7.163 |   5.409 | \pm 0.011     |  40.33 |  31.64 | \pm  1.34   | 0.79         | 15.9  | \pm  1.21   | \pm  1.67   | \pm  2.45   
 0.087      |   5.730 |   4.304 | \pm 0.008     |  37.88 |  29.64 | \pm  1.27   | 0.64         | 13.7  | \pm  1.15   | \pm  1.77   | \pm  2.47   
 0.066      |   4.327 |   3.360 | \pm 0.006     |  35.48 |  27.59 | \pm  1.28   | 0.54         | 11.6  | \pm  1.20   | \pm  1.96   | \pm  2.63   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table VII)	Centrality 20-30%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  37.610 |  29.110 | \pm 0.073     |  47.51 |  36.77 | \pm 1.17    | 0.82         | 53 .0 | \pm  1.28   | \pm  0.76   | \pm  1.89   
 0.678      |  36.606 |  28.358 | \pm 0.072     |  47.66 |  36.92 | \pm 1.20    | 0.86         | 51 .7 | \pm  1.61   | \pm  0.68   | \pm  2.12   
 0.656      |  35.403 |  27.388 | \pm 0.070     |  47.76 |  36.94 | \pm 1.22    | 0.83         | 51 .4 | \pm  1.10   | \pm  0.43   | \pm  1.70   
 0.634      |  34.199 |  26.419 | \pm 0.069     |  47.45 |  36.66 | \pm 1.24    | 0.83         | 50 .2 | \pm  1.54   | \pm  0.65   | \pm  2.08   
 0.613      |  33.002 |  25.474 | \pm 0.067     |  47.80 |  36.90 | \pm 1.27    | 0.97         | 49 .3 | \pm  0.99   | \pm  0.68   | \pm  1.75   
 0.591      |  31.812 |  24.550 | \pm 0.065     |  47.37 |  36.56 | \pm 1.28    | 0.96         | 48 .6 | \pm  1.29   | \pm  0.62   | \pm  1.92   
 0.569      |  30.609 |  23.598 | \pm 0.063     |  47.42 |  36.56 | \pm 1.31    | 0.93         | 47 .7 | \pm  1.12   | \pm  0.51   | \pm  1.80   
 0.547      |  29.413 |  22.641 | \pm 0.062     |  47.14 |  36.29 | \pm 1.34    | 0.92         | 46 .0 | \pm  1.26   | \pm  0.68   | \pm  1.96   
 0.525      |  28.218 |  21.688 | \pm 0.060     |  47.13 |  36.23 | \pm 1.37    | 0.94         | 44 .8 | \pm  1.38   | \pm  0.66   | \pm  2.05   
 0.503      |  27.021 |  20.729 | \pm 0.058     |  47.16 |  36.19 | \pm 1.41    | 0.98         | 43 .6 | \pm  1.29   | \pm  0.53   | \pm  1.98   
 0.481      |  25.823 |  19.762 | \pm 0.057     |  47.14 |  36.08 | \pm 1.45    | 0.98         | 42 .2 | \pm  1.40   | \pm  0.52   | \pm  2.08   
 0.459      |  24.623 |  18.787 | \pm 0.055     |  47.14 |  35.98 | \pm 1.50    | 0.98         | 41 .1 | \pm  1.37   | \pm  0.57   | \pm  2.11   
 0.438      |  23.421 |  17.806 | \pm 0.053     |  46.88 |  35.66 | \pm 1.54    | 0.95         | 39 .4 | \pm  1.53   | \pm  0.68   | \pm  2.28   
 0.416      |  22.218 |  16.826 | \pm 0.051     |  47.13 |  35.72 | \pm 1.61    | 1.02         | 38 .0 | \pm  1.42   | \pm  0.55   | \pm  2.21   
 0.394      |  21.024 |  15.858 | \pm 0.050     |  46.86 |  35.38 | \pm 1.67    | 0.99         | 36 .6 | \pm  1.61   | \pm  0.68   | \pm  2.42   
 0.372      |  19.831 |  14.894 | \pm 0.048     |  46.92 |  35.28 | \pm 1.74    | 1.00         | 35 .1 | \pm  1.60   | \pm  0.78   | \pm  2.49   
 0.350      |  18.658 |  13.973 | \pm 0.033     |  46.79 |  35.08 | \pm 1.29    | 1.02         | 33 .7 | \pm  1.63   | \pm  0.83   | \pm  2.23   
 0.328      |  17.499 |  13.138 | \pm 0.031     |  46.40 |  34.90 | \pm 1.33    | 1.02         | 32 .1 | \pm  1.63   | \pm  0.79   | \pm  2.25   
 0.306      |  16.350 |  12.314 | \pm 0.030     |  46.22 |  34.90 | \pm 1.40    | 1.07         | 30 .6 | \pm  1.72   | \pm  0.73   | \pm  2.33   
 0.284      |  15.201 |  11.480 | \pm 0.029     |  45.61 |  34.60 | \pm 1.45    | 1.06         | 29 .0 | \pm  1.56   | \pm  0.82   | \pm  2.28   
 0.263      |  14.048 |  10.636 | \pm 0.027     |  44.99 |  34.29 | \pm 1.51    | 1.06         | 27 .4 | \pm  1.65   | \pm  0.90   | \pm  2.41   
 0.241      |  12.892 |   9.781 | \pm 0.026     |  44.22 |  33.84 | \pm 1.58    | 1.07         | 25 .6 | \pm  1.54   | \pm  0.91   | \pm  2.39   
 0.219      |  11.729 |   8.913 | \pm 0.020     |  43.26 |  33.22 | \pm 1.34    | 1.05         | 24 .0 | \pm  1.36   | \pm  0.93   | \pm  2.13   
 0.197      |  10.561 |   8.032 | \pm 0.019     |  42.28 |  32.55 | \pm 1.41    | 1.05         | 22 .4 | \pm  1.30   | \pm  0.95   | \pm  2.14   
 0.175      |   9.389 |   7.139 | \pm 0.015     |  41.04 |  31.68 | \pm 1.29    | 0.96         | 20 .4 | \pm  1.26   | \pm  0.96   | \pm  2.04   
