Cent00-10	DeltaPhi 	p_{T} (GeV/c) 	R_{AA} 	p_{T} Uncorr 	Rat. (%) 	p_{T} Corr. 	Rat. (%) 	Global 	Rat. (%)
00-10 & 75-90 & 7.5 & 1.7510e-01 & 4.2523e-03 & 2.43 & 3.5478e-03 & 2.03 \\ 
00-10 & 75-90 & 8.5 & 1.8299e-01 & 6.4109e-03 & 3.5 & 4.1835e-03 & 2.29 \\ 
00-10 & 75-90 & 9.5 & 1.9769e-01 & 1.0217e-02 & 5.17 & 5.5794e-03 & 2.82 \\ 
00-10 & 75-90 & 11 & 2.1521e-01 & 1.1857e-02 & 5.51 & 5.3193e-03 & 2.47 \\ 
00-10 & 75-90 & 13 & 2.2846e-01 & 2.1470e-02 & 9.4 & 1.2888e-02 & 5.64 \\ 
00-10 & 75-90 & 15 & 2.3976e-01 & 6.1813e-02 & 25.8 & 3.6317e-02 & 15.1 \\ 
00-10 & 75-90 & 17 & 3.7584e-01 & 9.2721e-02 & 24.7 & 7.3647e-02 & 19.6 \\ 
            
            
Cent10-20	DeltaPhi 	p_{T} (GeV/c) 	R_{AA} 	p_{T} Uncorr 	Rat. (%) 	p_{T} Corr. 	Rat. (%) 	Global 	Rat. (%)
10-20 & 00-15 & 5.5 & 3.1150e-01 & 2.9222e-03 & 0.938 & 3.4235e-03 & 1.1 \\ 
10-20 & 00-15 & 6.5 & 2.9818e-01 & 4.5686e-03 & 1.53 & 3.0836e-03 & 1.03 \\ 
10-20 & 00-15 & 7.5 & 3.0953e-01 & 7.0685e-03 & 2.28 & 3.4458e-03 & 1.11 \\ 
10-20 & 00-15 & 8.5 & 3.0995e-01 & 1.0619e-02 & 3.43 & 3.5171e-03 & 1.13 \\ 
10-20 & 00-15 & 9.5 & 3.6546e-01 & 1.7027e-02 & 4.66 & 5.2547e-03 & 1.44 \\ 
10-20 & 00-15 & 11 & 3.2477e-01 & 1.8062e-02 & 5.56 & 4.3809e-03 & 1.35 \\ 
10-20 & 00-15 & 13 & 3.6576e-01 & 3.6685e-02 & 10 & 8.0468e-03 & 2.2 \\ 
10-20 & 00-15 & 15 & 5.2519e-01 & 8.8156e-02 & 16.8 & 1.6758e-02 & 3.19 \\ 
10-20 & 00-15 & 17 & 2.4718e-01 & 1.0091e-01 & 40.8 & 3.2273e-02 & 13.1 \\ 
10-20 & 15-30 & 5.5 & 2.9761e-01 & 2.8282e-03 & 0.95 & 2.4991e-03 & 0.84 \\ 
10-20 & 15-30 & 6.5 & 2.9289e-01 & 4.4716e-03 & 1.53 & 2.3092e-03 & 0.788 \\ 
10-20 & 15-30 & 7.5 & 2.9611e-01 & 6.8616e-03 & 2.32 & 2.5220e-03 & 0.852 \\ 
10-20 & 15-30 & 8.5 & 3.0672e-01 & 1.0471e-02 & 3.41 & 2.6637e-03 & 0.868 \\ 
10-20 & 15-30 & 9.5 & 3.3904e-01 & 1.6286e-02 & 4.8 & 3.7749e-03 & 1.11 \\ 
10-20 & 15-30 & 11 & 3.2406e-01 & 1.7937e-02 & 5.54 & 3.3456e-03 & 1.03 \\ 
10-20 & 15-30 & 13 & 3.2517e-01 & 3.4183e-02 & 10.5 & 5.6544e-03 & 1.74 \\ 
10-20 & 15-30 & 15 & 4.6723e-01 & 8.3443e-02 & 17.9 & 1.2025e-02 & 2.57 \\ 
10-20 & 15-30 & 17 & 3.3147e-01 & 1.2674e-01 & 38.2 & 2.8108e-02 & 8.48 \\ 
10-20 & 30-45 & 5.5 & 2.7070e-01 & 2.6437e-03 & 0.977 & 9.0017e-04 & 0.333 \\ 
10-20 & 30-45 & 6.5 & 2.6604e-01 & 4.2219e-03 & 1.59 & 8.2709e-04 & 0.311 \\ 
10-20 & 30-45 & 7.5 & 2.8199e-01 & 6.6079e-03 & 2.34 & 9.5353e-04 & 0.338 \\ 
10-20 & 30-45 & 8.5 & 2.9388e-01 & 1.0148e-02 & 3.45 & 1.0135e-03 & 0.345 \\ 
10-20 & 30-45 & 9.5 & 2.8867e-01 & 1.4890e-02 & 5.16 & 1.3059e-03 & 0.452 \\ 
10-20 & 30-45 & 11 & 2.9508e-01 & 1.7017e-02 & 5.77 & 1.2086e-03 & 0.41 \\ 
10-20 & 30-45 & 13 & 3.9331e-01 & 3.7208e-02 & 9.46 & 2.8908e-03 & 0.735 \\ 
10-20 & 30-45 & 15 & 4.2501e-01 & 7.8202e-02 & 18.4 & 4.8121e-03 & 1.13 \\ 
10-20 & 30-45 & 17 & 4.8234e-01 & 1.4543e-01 & 30.2 & 1.2371e-02 & 2.56 \\ 
10-20 & 45-60 & 5.5 & 2.4761e-01 & 2.4666e-03 & 0.996 & 9.0945e-04 & 0.367 \\ 
10-20 & 45-60 & 6.5 & 2.4195e-01 & 3.9669e-03 & 1.64 & 8.2591e-04 & 0.341 \\ 
10-20 & 45-60 & 7.5 & 2.4643e-01 & 6.1442e-03 & 2.49 & 9.2334e-04 & 0.375 \\ 
10-20 & 45-60 & 8.5 & 2.5013e-01 & 9.2818e-03 & 3.71 & 9.5539e-04 & 0.382 \\ 
10-20 & 45-60 & 9.5 & 2.7511e-01 & 1.4256e-02 & 5.18 & 1.4223e-03 & 0.517 \\ 
10-20 & 45-60 & 11 & 3.1776e-01 & 1.7282e-02 & 5.44 & 1.4370e-03 & 0.452 \\ 
10-20 & 45-60 & 13 & 2.6102e-01 & 2.9601e-02 & 11.3 & 2.3125e-03 & 0.886 \\ 
10-20 & 45-60 & 15 & 2.4453e-01 & 6.3577e-02 & 26 & 3.5306e-03 & 1.44 \\ 
10-20 & 45-60 & 17 & 5.9052e-01 & 1.6378e-01 & 27.7 & 1.2420e-02 & 2.1 \\ 
10-20 & 60-75 & 5.5 & 2.2433e-01 & 2.2991e-03 & 1.02 & 2.4751e-03 & 1.1 \\ 
10-20 & 60-75 & 6.5 & 2.2852e-01 & 3.7825e-03 & 1.66 & 2.3287e-03 & 1.02 \\ 
10-20 & 60-75 & 7.5 & 2.2583e-01 & 5.7727e-03 & 2.56 & 2.5496e-03 & 1.13 \\ 
10-20 & 60-75 & 8.5 & 2.3801e-01 & 8.9099e-03 & 3.74 & 2.7351e-03 & 1.15 \\ 
10-20 & 60-75 & 9.5 & 2.4756e-01 & 1.3317e-02 & 5.38 & 3.9781e-03 & 1.61 \\ 
10-20 & 60-75 & 11 & 2.4822e-01 & 1.5271e-02 & 6.15 & 3.3611e-03 & 1.35 \\ 
10-20 & 60-75 & 13 & 2.3178e-01 & 2.7438e-02 & 11.8 & 6.7424e-03 & 2.91 \\ 
10-20 & 60-75 & 15 & 3.5384e-01 & 6.7846e-02 & 19.2 & 1.7829e-02 & 5.04 \\ 
10-20 & 60-75 & 17 & 2.7960e-01 & 1.1415e-01 & 40.8 & 1.3740e-02 & 4.91 \\ 
10-20 & 75-90 & 5.5 & 2.1774e-01 & 2.2223e-03 & 1.02 & 3.4817e-03 & 1.6 \\ 
10-20 & 75-90 & 6.5 & 2.1612e-01 & 3.6238e-03 & 1.68 & 3.1783e-03 & 1.47 \\ 
10-20 & 75-90 & 7.5 & 2.2597e-01 & 5.6772e-03 & 2.51 & 3.7043e-03 & 1.64 \\ 
10-20 & 75-90 & 8.5 & 2.4024e-01 & 8.8500e-03 & 3.68 & 4.0025e-03 & 1.67 \\ 
10-20 & 75-90 & 9.5 & 2.5186e-01 & 1.3246e-02 & 5.26 & 5.9960e-03 & 2.38 \\ 
10-20 & 75-90 & 11 & 2.6028e-01 & 1.5460e-02 & 5.94 & 5.0899e-03 & 1.96 \\ 
10-20 & 75-90 & 13 & 2.4276e-01 & 2.7598e-02 & 11.4 & 1.0849e-02 & 4.47 \\ 
10-20 & 75-90 & 15 & 2.7763e-01 & 6.1392e-02 & 22.1 & 2.2422e-02 & 8.08 \\ 
10-20 & 75-90 & 17 & 4.7212e-01 & 1.4930e-01 & 31.6 & 2.9122e-02 & 6.17 \\ 
            
            
Cent20-30	DeltaPhi 	p_{T} (GeV/c) 	R_{AA} 	p_{T} Uncorr 	Rat. (%) 	p_{T} Corr. 	Rat. (%) 	Global 	Rat. (%)
20-30 & 00-15 & 5.5 & 4.3298e-01 & 3.9868e-03 & 0.921 & 5.9038e-03 & 1.36 \\ 
20-30 & 00-15 & 6.5 & 4.1730e-01 & 6.4577e-03 & 1.55 & 5.1550e-03 & 1.24 \\ 
20-30 & 00-15 & 7.5 & 4.0357e-01 & 9.8434e-03 & 2.44 & 4.9932e-03 & 1.24 \\ 
20-30 & 00-15 & 8.5 & 4.0449e-01 & 1.4700e-02 & 3.63 & 4.5617e-03 & 1.13 \\ 
20-30 & 00-15 & 9.5 & 4.1307e-01 & 2.2198e-02 & 5.37 & 5.2404e-03 & 1.27 \\ 
20-30 & 00-15 & 11 & 4.2232e-01 & 2.5027e-02 & 5.93 & 5.4432e-03 & 1.29 \\ 
20-30 & 00-15 & 13 & 4.2215e-01 & 4.7825e-02 & 11.3 & 9.2496e-03 & 2.19 \\ 
20-30 & 00-15 & 15 & 5.9183e-01 & 1.1305e-01 & 19.1 & 2.3466e-02 & 3.97 \\ 
20-30 & 00-15 & 17 & 6.0218e-01 & 2.0413e-01 & 33.9 & 2.8231e-02 & 4.69 \\ 
20-30 & 15-30 & 5.5 & 4.0686e-01 & 3.8160e-03 & 0.938 & 4.2830e-03 & 1.05 \\ 
20-30 & 15-30 & 6.5 & 3.9475e-01 & 6.2297e-03 & 1.58 & 3.7469e-03 & 0.949 \\ 
20-30 & 15-30 & 7.5 & 3.8543e-01 & 9.5519e-03 & 2.48 & 3.6665e-03 & 0.951 \\ 
20-30 & 15-30 & 8.5 & 3.7658e-01 & 1.4104e-02 & 3.75 & 3.2510e-03 & 0.863 \\ 
20-30 & 15-30 & 9.5 & 4.1280e-01 & 2.2023e-02 & 5.33 & 4.0190e-03 & 0.974 \\ 
20-30 & 15-30 & 11 & 4.2488e-01 & 2.5082e-02 & 5.9 & 4.1775e-03 & 0.983 \\ 
20-30 & 15-30 & 13 & 4.1882e-01 & 4.7253e-02 & 11.3 & 6.8853e-03 & 1.64 \\ 
20-30 & 15-30 & 15 & 4.7153e-01 & 1.0057e-01 & 21.3 & 1.3878e-02 & 2.94 \\ 
20-30 & 15-30 & 17 & 4.9878e-01 & 2.4881e-01 & 49.9 & 1.9369e-02 & 3.88 \\ 
20-30 & 30-45 & 5.5 & 3.7000e-01 & 3.5488e-03 & 0.959 & 1.5748e-03 & 0.426 \\ 
20-30 & 30-45 & 6.5 & 3.5124e-01 & 5.7754e-03 & 1.64 & 1.3351e-03 & 0.38 \\ 
20-30 & 30-45 & 7.5 & 3.5767e-01 & 9.0132e-03 & 2.52 & 1.3642e-03 & 0.381 \\ 
20-30 & 30-45 & 8.5 & 3.4725e-01 & 1.3402e-02 & 3.86 & 1.1911e-03 & 0.343 \\ 
20-30 & 30-45 & 9.5 & 3.5944e-01 & 2.0503e-02 & 5.7 & 1.3962e-03 & 0.388 \\ 
20-30 & 30-45 & 11 & 3.6927e-01 & 2.3191e-02 & 6.28 & 1.4313e-03 & 0.388 \\ 
20-30 & 30-45 & 13 & 4.4742e-01 & 4.8751e-02 & 10.9 & 2.8118e-03 & 0.628 \\ 
20-30 & 30-45 & 15 & 5.2253e-01 & 1.0671e-01 & 20.4 & 5.7674e-03 & 1.1 \\ 
20-30 & 30-45 & 17 & 4.2154e-01 & 1.5933e-01 & 37.8 & 7.6048e-03 & 1.8 \\ 
20-30 & 45-60 & 5.5 & 3.2350e-01 & 3.2309e-03 & 0.999 & 1.5659e-03 & 0.484 \\ 
20-30 & 45-60 & 6.5 & 3.1480e-01 & 5.3578e-03 & 1.7 & 1.3424e-03 & 0.426 \\ 
20-30 & 45-60 & 7.5 & 3.2855e-01 & 8.5193e-03 & 2.59 & 1.4081e-03 & 0.429 \\ 
20-30 & 45-60 & 8.5 & 3.2663e-01 & 1.2823e-02 & 3.93 & 1.2419e-03 & 0.38 \\ 
20-30 & 45-60 & 9.5 & 3.8650e-01 & 2.0859e-02 & 5.4 & 1.6715e-03 & 0.432 \\ 
20-30 & 45-60 & 11 & 3.5463e-01 & 2.2459e-02 & 6.33 & 1.5051e-03 & 0.424 \\ 
20-30 & 45-60 & 13 & 3.8311e-01 & 4.4504e-02 & 11.6 & 2.5347e-03 & 0.662 \\ 
20-30 & 45-60 & 15 & 5.2019e-01 & 1.0656e-01 & 20.5 & 5.9069e-03 & 1.14 \\ 
20-30 & 45-60 & 17 & 1.1412e-01 & 8.0694e-02 & 70.7 & 2.8479e-03 & 2.5 \\ 
20-30 & 60-75 & 5.5 & 2.8811e-01 & 2.9724e-03 & 1.03 & 4.3247e-03 & 1.5 \\ 
20-30 & 60-75 & 6.5 & 2.8355e-01 & 4.9883e-03 & 1.76 & 3.6934e-03 & 1.3 \\ 
20-30 & 60-75 & 7.5 & 2.8431e-01 & 7.8239e-03 & 2.75 & 3.7279e-03 & 1.31 \\ 
20-30 & 60-75 & 8.5 & 2.8677e-01 & 1.1865e-02 & 4.14 & 3.2842e-03 & 1.15 \\ 
20-30 & 60-75 & 9.5 & 3.3632e-01 & 1.9365e-02 & 5.76 & 4.3950e-03 & 1.31 \\ 
20-30 & 60-75 & 11 & 3.5651e-01 & 2.2268e-02 & 6.25 & 4.4929e-03 & 1.26 \\ 
20-30 & 60-75 & 13 & 3.9686e-01 & 4.5412e-02 & 11.4 & 7.5089e-03 & 1.89 \\ 
20-30 & 60-75 & 15 & 5.2779e-01 & 1.0558e-01 & 20 & 1.6787e-02 & 3.18 \\ 
20-30 & 60-75 & 17 & 2.1366e-01 & 1.0683e-01 & 50 & 2.0463e-02 & 9.58 \\ 
20-30 & 75-90 & 5.5 & 2.6614e-01 & 2.8164e-03 & 1.06 & 5.9184e-03 & 2.22 \\ 
20-30 & 75-90 & 6.5 & 2.7956e-01 & 4.8702e-03 & 1.74 & 5.3379e-03 & 1.91 \\ 
20-30 & 75-90 & 7.5 & 2.7009e-01 & 7.4976e-03 & 2.78 & 5.1964e-03 & 1.92 \\ 
20-30 & 75-90 & 8.5 & 3.0742e-01 & 1.2134e-02 & 3.95 & 5.1085e-03 & 1.66 \\ 
20-30 & 75-90 & 9.5 & 2.9865e-01 & 1.8024e-02 & 6.04 & 5.6715e-03 & 1.9 \\ 
20-30 & 75-90 & 11 & 3.3975e-01 & 2.1654e-02 & 6.37 & 6.1504e-03 & 1.81 \\ 
20-30 & 75-90 & 13 & 3.8192e-01 & 4.4489e-02 & 11.6 & 1.0140e-02 & 2.66 \\ 
20-30 & 75-90 & 15 & 5.0271e-01 & 1.0417e-01 & 20.7 & 2.2162e-02 & 4.41 \\ 
20-30 & 75-90 & 17 & 3.8063e-01 & 1.4687e-01 & 38.6 & 6.2719e-02 & 16.5 \\ 
            
            
Cent30-40	DeltaPhi 	p_{T} (GeV/c) 	R_{AA} 	p_{T} Uncorr 	Rat. (%) 	p_{T} Corr. 	Rat. (%) 	Global 	Rat. (%)
30-40 & 00-15 & 5.5 & 5.4319e-01 & 5.4141e-03 & 0.997 & 8.1871e-03 & 1.51 \\ 
30-40 & 00-15 & 6.5 & 5.6011e-01 & 9.2439e-03 & 1.65 & 7.8447e-03 & 1.4 \\ 
30-40 & 00-15 & 7.5 & 5.1789e-01 & 1.4111e-02 & 2.72 & 7.4204e-03 & 1.43 \\ 
30-40 & 00-15 & 8.5 & 5.4053e-01 & 2.1865e-02 & 4.05 & 7.8496e-03 & 1.45 \\ 
30-40 & 00-15 & 9.5 & 5.4264e-01 & 3.2676e-02 & 6.02 & 9.4496e-03 & 1.74 \\ 
30-40 & 00-15 & 11 & 5.1192e-01 & 3.5895e-02 & 7.01 & 9.1286e-03 & 1.78 \\ 
30-40 & 00-15 & 13 & 6.0179e-01 & 7.2972e-02 & 12.1 & 1.6170e-02 & 2.69 \\ 
30-40 & 00-15 & 15 & 6.8640e-01 & 1.8429e-01 & 26.8 & 2.9489e-02 & 4.3 \\ 
30-40 & 00-15 & 17 & 7.8339e-01 & 3.2421e-01 & 41.4 & 6.5901e-02 & 8.41 \\ 
30-40 & 15-30 & 5.5 & 5.3718e-01 & 5.2649e-03 & 0.98 & 6.2872e-03 & 1.17 \\ 
30-40 & 15-30 & 6.5 & 5.0499e-01 & 8.7167e-03 & 1.73 & 5.4709e-03 & 1.08 \\ 
30-40 & 15-30 & 7.5 & 5.0999e-01 & 1.3895e-02 & 2.72 & 5.6631e-03 & 1.11 \\ 
30-40 & 15-30 & 8.5 & 4.8960e-01 & 2.0633e-02 & 4.21 & 5.5137e-03 & 1.13 \\ 
30-40 & 15-30 & 9.5 & 4.6357e-01 & 2.9999e-02 & 6.47 & 6.3174e-03 & 1.36 \\ 
30-40 & 15-30 & 11 & 5.1760e-01 & 3.5932e-02 & 6.94 & 7.2205e-03 & 1.4 \\ 
30-40 & 15-30 & 13 & 5.6323e-01 & 6.9768e-02 & 12.4 & 1.2006e-02 & 2.13 \\ 
30-40 & 15-30 & 15 & 5.5418e-01 & 1.4254e-01 & 25.7 & 1.9331e-02 & 3.49 \\ 
30-40 & 15-30 & 17 & 2.2087e-01 & 1.5618e-01 & 70.7 & 1.4765e-02 & 6.68 \\ 
30-40 & 30-45 & 5.5 & 4.6070e-01 & 4.7951e-03 & 1.04 & 2.2059e-03 & 0.479 \\ 
30-40 & 30-45 & 6.5 & 4.4923e-01 & 8.1033e-03 & 1.8 & 1.9753e-03 & 0.44 \\ 
30-40 & 30-45 & 7.5 & 4.4179e-01 & 1.2773e-02 & 2.89 & 1.9985e-03 & 0.452 \\ 
30-40 & 30-45 & 8.5 & 4.4606e-01 & 1.9368e-02 & 4.34 & 2.0477e-03 & 0.459 \\ 
30-40 & 30-45 & 9.5 & 4.3923e-01 & 2.8838e-02 & 6.57 & 2.4830e-03 & 0.565 \\ 
30-40 & 30-45 & 11 & 4.9666e-01 & 3.4636e-02 & 6.97 & 2.8708e-03 & 0.578 \\ 
30-40 & 30-45 & 13 & 4.8946e-01 & 6.5327e-02 & 13.3 & 4.4372e-03 & 0.907 \\ 
30-40 & 30-45 & 15 & 9.2703e-01 & 1.7841e-01 & 19.2 & 1.4398e-02 & 1.55 \\ 
30-40 & 30-45 & 17 & 6.4565e-01 & 3.8985e-01 & 60.4 & 1.8374e-02 & 2.85 \\ 
30-40 & 45-60 & 5.5 & 4.0237e-01 & 4.3276e-03 & 1.08 & 2.2296e-03 & 0.554 \\ 
30-40 & 45-60 & 6.5 & 4.1362e-01 & 7.5827e-03 & 1.83 & 2.0800e-03 & 0.503 \\ 
30-40 & 45-60 & 7.5 & 4.1792e-01 & 1.2064e-02 & 2.89 & 2.1735e-03 & 0.52 \\ 
30-40 & 45-60 & 8.5 & 4.2559e-01 & 1.8522e-02 & 4.35 & 2.2451e-03 & 0.528 \\ 
30-40 & 45-60 & 9.5 & 4.2211e-01 & 2.7634e-02 & 6.55 & 2.8068e-03 & 0.665 \\ 
30-40 & 45-60 & 11 & 4.8638e-01 & 3.3422e-02 & 6.87 & 3.2988e-03 & 0.678 \\ 
30-40 & 45-60 & 13 & 4.3377e-01 & 5.9217e-02 & 13.7 & 4.7710e-03 & 1.1 \\ 
30-40 & 45-60 & 15 & 5.1825e-01 & 1.3125e-01 & 25.3 & 1.0419e-02 & 2.01 \\ 
30-40 & 45-60 & 17 & 7.2695e-01 & 3.9030e-01 & 53.7 & 2.5038e-02 & 3.44 \\ 
30-40 & 60-75 & 5.5 & 3.4690e-01 & 3.9080e-03 & 1.13 & 6.0793e-03 & 1.75 \\ 
30-40 & 60-75 & 6.5 & 3.6686e-01 & 6.9459e-03 & 1.89 & 5.7561e-03 & 1.57 \\ 
30-40 & 60-75 & 7.5 & 3.4116e-01 & 1.0759e-02 & 3.15 & 5.5657e-03 & 1.63 \\ 
30-40 & 60-75 & 8.5 & 3.8264e-01 & 1.7242e-02 & 4.51 & 6.3174e-03 & 1.65 \\ 
30-40 & 60-75 & 9.5 & 3.4035e-01 & 2.4348e-02 & 7.15 & 7.2527e-03 & 2.13 \\ 
30-40 & 60-75 & 11 & 3.7184e-01 & 2.8903e-02 & 7.77 & 8.0531e-03 & 2.17 \\ 
30-40 & 60-75 & 13 & 4.0187e-01 & 5.6074e-02 & 14 & 1.4584e-02 & 3.63 \\ 
30-40 & 60-75 & 15 & 3.9716e-01 & 1.1177e-01 & 28.1 & 2.8272e-02 & 7.12 \\ 
30-40 & 60-75 & 17 & 4.2884e-02 & 2.6474e-01 & 617 & 4.8427e-03 & 11.3 \\ 
30-40 & 75-90 & 5.5 & 3.2144e-01 & 3.6868e-03 & 1.15 & 8.4654e-03 & 2.63 \\ 
30-40 & 75-90 & 6.5 & 3.3091e-01 & 6.4842e-03 & 1.96 & 7.7253e-03 & 2.33 \\ 
30-40 & 75-90 & 7.5 & 3.2898e-01 & 1.0395e-02 & 3.16 & 8.0135e-03 & 2.44 \\ 
30-40 & 75-90 & 8.5 & 3.3302e-01 & 1.5900e-02 & 4.77 & 8.1884e-03 & 2.46 \\ 
30-40 & 75-90 & 9.5 & 3.3291e-01 & 2.3617e-02 & 7.09 & 1.0730e-02 & 3.22 \\ 
30-40 & 75-90 & 11 & 3.2912e-01 & 2.6888e-02 & 8.17 & 1.0749e-02 & 3.27 \\ 
30-40 & 75-90 & 13 & 3.7355e-01 & 5.3317e-02 & 14.3 & 2.0876e-02 & 5.59 \\ 
30-40 & 75-90 & 15 & 4.1489e-01 & 1.9022e-01 & 45.8 & 4.7783e-02 & 11.5 \\ 
30-40 & 75-90 & 17 & 5.8561e-01 & 2.3908e-01 & 40.8 & 1.0124e-01 & 17.3 \\ 
            
            
Cent40-50	DeltaPhi 	p_{T} (GeV/c) 	R_{AA} 	p_{T} Uncorr 	Rat. (%) 	p_{T} Corr. 	Rat. (%) 	Global 	Rat. (%)
